word;translation;comment
absent-minded;afwezig;
attention span;aandachtsspanne;
be in two minds;twijfelen;
be out of one's mind;niet goed bij je hoofd zijn;
blow one's mind;je versteld doen staan;
broad-minded;ruimdenkend;
clear one's mind;je hoofd leegmaken;
coexist;naast elkaar bestaan;
constitute sth;iets vormen;
cooperative;coöperatief;
cross one's mind;kruist je geest;
bias;vooroordeel;
devote attention to sth;aandacht besteden aan iets;
distortion;vervorming;
factual information;feitelijke informatie;
hierarchy;hiërarchie;
in the long run;op lange termijn;
information overload;overdaad aan informatie;
information processing;informatieverwerking;
mind your manners!;let op je manieren!;
mind your own business!;bemoei je met je eigen zaken!;
misinformation;desinformatie;
mistrust;wantrouwen;
mode;modus;
multitask;multitasken;
nap;(een) dutje doen;(n,v)
overestimate;overschatten;
pay attention;opletten;
peer-reviewed journal;peer-reviewed tijdschrift;
prejudice;vooroordeel;
prioritise tasks;bepaalde taken prioriteit geven;
pseudo-fact;pseudofeit;
put one's mind to sth;je ergens toe zetten;
self-imposed;zelfopgelegd;
take its toll;z'n tol eisen;
tough-minded;keihard;
tremendously;enorm;
underestimate;onderschatten;
understatement;understatement;
undivided attention;onverdeelde aandacht;
weigh on one's mind;iemand zeer bezighouden;
withhold information;informatie achterhouden;
accomplish;bereiken;
accurate;juist;
inaccurate;onjuist;
boost;stimuleren;
come easy/easily to sb;gemakkelijk zijn voor iemand;
disclose;openbaren;
diversity;verscheidenheid;
draw a comparison;een vergelijking maken;
encourage economic growth;economische groei stimuleren;
engaging;innemend;
escalator;roltrap;
gain traction with the public;aanslaan bij het publiek;
in collaboration with;in samenwerking met;
incentive;aansporing;
intriguing;intrigerend;
limp;hinken;
lower the requirements;de eisen verlagen;
negate;ontkennen;
predecessor;voorganger;
prevention;preventie;
prohibitive;belemmerend;
pursue;achtervolgen;
reap the benefits;de voordelen plukken;
render sth unusable;iets onbruikbaar maken;
ring true;geloofwaardig klinken;
straightforward;rechtdoorzee;
strenuous;inspannend;
stride;wandelen;
stroll;slenteren;
take a bite out of sth;een  hap nemen uit iets;
taxpayer;belastingbetaler;
misleading;misleidend;
amateur footage;amateurbeelden;
exponentially;exponentieel;
generate;genereren;
accurate/inaccurate;juist / onjuist;
amateur footage;amateurbeelden;
biased;vooringenomen;
common misconception;gebruikelijke misvatting;
commonly held belief;algemene overtuiging;
exploitation;exploitatie;
fresh angle;nieuwe invalshoek;
(from an) ideological viewpoint;ideologisch gezichtspunt;
impartial;onpartijdig;
increased trust;verbeterd vertrouwen;
mainstream media;massamedia;
potential impact;potentiële impact / potentieel effect;
readership;lezerspubliek;
unedited;ongecorrigeerd;
well-balanced account;goed uitgebalanceerd beeld;
accurate/inaccurate;juist / onjuist;
broadsheet newspaper;grootformaat krant;
a critical aspect;een cruciaal aspect;
frivolous;frivool,lichtzinnig;
misleading;misleidend;
objective;objectief;
objectivity;objectiviteit;
out-of-date;uit de tijd;
reliability;betrouwbaarheid;
reliable/unreliable;betrouwbaar / onbetrouwbaar;
tabloid newspaper;roddelkrant;
assertion;bewering;
censor;censureren;
censorship;censuur;
come down to sth;erop aankomen;
data protection;gegevensbescherming;
embrace;omarmen;
exposure to sth;blootstelling aan iets;
extensively;uitgebreid;
have vested interest in sth;gevestigde belangen hebben in iets;
headache;hoofdpijn;
insoluble;onoplosbaar;
it goes without saying;het spreekt vanzelf;
on a daily basis;dagelijks;
pertinent;relevant;
refusal to do sth;weigering om iets te doen;
reliable/unreliable;betrouwbaar / onbetrouwbaar;
take issue with sb;het niet eens zijn met;
untold amounts;onnoemelijke hoeveelheden;
view;gezichtspunt;
